Usia :,Apakah anda kesulitan dalam berkomunikasi dengan orang lain yang berbeda negara?,Seberapa sering Anda menggunakan aplikasi untuk menerjemahkan bahasa?,Seberapa familiar Anda dengan bahasa inggris?,Seberapa familiar Anda dengan bahasa Jepang?,"Seberapa penting menurut Anda jika suatu aplikasi penerjemah dapat menerjemahkan bahasa hanya tiga bahasa saja (jepang, inggris, dan indonesia)?",Seberapa penting menurut anda aplikasi yang dapat menerjemahkan suatu bahasa dari suara dengan voice recognition?,Seberapa penting menurut anda aplikasi yang dapat menerjemahkan suatu bahasa dari foto?,Apakah Anda pernah merasa kesulitan saat menggunakan aplikasi penerjemah?,Faktor apa yang membuat anda merasa kesulitan saat menggunakan aplikasi penerjemah? (Bisa memilih lebih dari satu),"Apakah Anda membutuhkan aplikasi penerjemah yang dapat menerjemahkan tiga bahasa yaitu bahasa Jepang, Inggris, dan Indonesia?","Apakah Anda membutuhkan aplikasi penerjemah yang dapat menerjemahkan dalam berbagai bentuk, seperti teks tulisan, suara, percakapan langsung, dan scan foto?",Apakah Anda mengharapkan akurasi yang tinggi dalam penerjemahan bahasa pada aplikasi penerjemah?,Apakah Anda mengharapkan aplikasi penerjemah memiliki fitur yang dapat memperbaiki kesalahan dalam penerjemahan?,Apakah Anda menginginkan aplikasi penerjemah memiliki antarmuka yang mudah digunakan?,Apakah Anda bersedia membayar untuk menggunakan aplikasi penerjemah dengan fitur-fitur lengkap dan akurasi yang tinggi?,"Apakah Anda membutuhkan aplikasi penerjemah yang dapat menerjemahkan tiga bahasa yaitu bahasa Jepang, Inggris, dan Indonesia?","Apakah Anda membutuhkan aplikasi penerjemah yang dapat menerjemahkan dalam berbagai bentuk, seperti teks tulisan, suara, percakapan langsung, dan scan foto?",Apakah Anda mengharapkan akurasi yang tinggi dalam penerjemahan bahasa pada aplikasi penerjemah?,Apakah Anda mengharapkan aplikasi penerjemah memiliki fitur yang dapat memperbaiki kesalahan dalam penerjemahan?,Apakah Anda menginginkan aplikasi penerjemah memiliki antarmuka yang mudah digunakan?,Apakah Anda bersedia membayar untuk menggunakan aplikasi penerjemah dengan fitur-fitur lengkap dan akurasi yang tinggi?
20,Sangat Sulit,Jarang sekali,Biasa saja,Tidak familiar,Normal,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Mudah,Jarang sekali,Familiar,Familiar,Penting,Penting,Penting,Ya,"Lambat dalam melakukan penerjemahan, Tidak ada dukungan untuk bahasa tertentu",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Biasa saja,Beberapa kali dalam seminggu,Biasa saja,Tidak familiar,Normal,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Suilt,Beberapa kali dalam sebulan,Familiar,Biasa saja,Sangat penting,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Sangat mudah,Belum pernah menggunakan,Sangat familiar,Sangat familiar,Sangat penting,Sangat penting,Sangat penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Sangat mudah,Jarang sekali,Sangat familiar,Sangat tidak familiar,Penting,Penting,Normal,Tidak,,,,,,,,Tidak,Tidak,Ya,Ya,Ya,Tidak
21,Biasa saja,Beberapa kali dalam sebulan,Familiar,Biasa saja,Normal,Penting,Penting,Ya,Tidak akurat dalam menerjemahkan,Tidak,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Mudah,Beberapa kali dalam sebulan,Sangat familiar,Tidak familiar,Sangat tidak penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Suilt,Setiap hari,Sangat tidak familiar,Sangat tidak familiar,Sangat tidak penting,Sangat tidak penting,Sangat tidak penting,Ya,Tidak ada dukungan untuk bahasa tertentu,Ya,Ya,Ya,Tidak,Tidak,Tidak,,,,,,
20,Sangat Sulit,Setiap hari,Tidak familiar,Sangat tidak familiar,Penting,Sangat penting,Penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
20,Suilt,Beberapa kali dalam sebulan,Familiar,Familiar,Penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
19,Suilt,Setiap hari,Familiar,Tidak familiar,Penting,Sangat penting,Sangat penting,Ya,Fitur-fitur yang kurang lengkap,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Suilt,Setiap hari,Familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Biasa saja,Setiap hari,Sangat familiar,Familiar,Sangat penting,Penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Tidak,Tidak,,,,,,
19,Suilt,Beberapa kali dalam seminggu,Sangat familiar,Biasa saja,Penting,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
21,Biasa saja,Jarang sekali,Sangat familiar,Biasa saja,Normal,Penting,Penting,Ya,Tidak akurat dalam menerjemahkan,Tidak,Ya,Ya,Ya,Ya,Ya,,,,,,
